,m=5,m=10,m=15
1,0,0,0
2,2313,731,1184
3,3088,1270,2171
4,4544,1590,2828
5,6567,6956,3603
6,6567,7371,5000
7,6567,7371,6809
8,6567,7371,7670
9,6567,7371,7768
10,6567,7678,7768
11,6567,8306,8837
12,6567,8306,8837
13,6567,8942,8837
14,6567,8942,8837
15,6567,8942,8837
16,6567,8942,8837
17,6567,9571,8837
18,7574,9571,8837
19,7574,9580,8837
20,7713,9580,8837
21,7713,9580,8837
22,7713,9580,8837
23,7713,9580,8837
24,7713,9580,8837
25,7713,9580,8837
26,7754,9580,8837
27,7754,9580,8837
28,7844,9580,8837
29,7844,9580,8837
30,7844,9775,8837
31,7844,9775,8837
32,7844,9775,8837
33,7844,9775,8837
34,7844,9775,8837
35,7920,9775,8837
36,7920,9775,8837
37,7920,9775,8837
38,7920,9775,8837
39,7920,9775,8837
40,7920,9775,8837
41,7920,9775,8837
42,7920,9775,8837
43,7920,9775,8837
44,7920,9775,8837
45,7920,9775,8837
46,7920,9775,8837
47,7920,9775,8837
48,7920,9775,8837
49,7920,9775,8837
50,7920,9775,8837
51,7920,9775,8837
52,7920,9775,8837
53,7920,9775,8837
54,7920,9775,8837
55,7920,9775,8837
56,7920,9775,8837
57,7920,9775,8837
58,7920,9775,8837
59,7920,9775,8837
60,7920,9775,8837
61,7920,9775,8837
62,7920,9775,8837
63,7920,9775,8837
64,7920,9775,8837
65,7920,9775,9118
66,7920,9775,9118
67,7920,9775,9118
68,7920,9775,9118
69,7920,9775,9118
70,7920,9775,9118
71,7920,9775,9118
72,7920,9775,9118
73,7920,9775,9118
74,7920,9775,9118
